ra,dec,kepmag,teff,logg,feh,radius,mass,dens
293.758362,41.871868,12.44,4840,3.306,0.2,4.23,1.32,0.0246
294.646698,41.884109,14.209,6032,4.395,-0.78,0.935,0.79,1.365
297.333069,41.891121,12.205,6181,4.234,-0.02,1.331,1.11,0.6607
281.645813,41.951092,14.467,3688,4.788,-0.1,0.463,0.48,6.798
286.865479,41.989079,14.29,5183,4.608,-0.18,0.739,0.82,2.85
291.385986,41.990269,11.197,5825,4.125,0.02,1.49,1.08,0.4574
293.732819,41.900829,11.411,5588,4.09,-0.1,1.467,0.97,0.439
297.115112,41.909142,13.709,5657,4.364,0,1.046,0.92,1.134
284.968506,42.079201,14.157,5123,4.568,-0.06,0.771,0.8,2.463
285.110474,42.033958,15.086,5228,4.585,0.21,0.811,0.92,2.437
294.674103,42.075581,12.557,5418,4.534,0.28,0.886,0.98,1.98
287.391205,42.194832,13.659,6366,4.045,-0.2,1.697,1.16,0.3355
287.604614,42.166779,12.596,5979,4.394,-0.34,1.005,0.91,1.267
290.030518,42.16605,13.182,5918,4.127,0.21,1.555,1.18,0.4428
291.390503,42.180592,14.466,5741,4.543,-0.16,0.856,0.93,2.096
293.29364,42.19635,15.886,6210,4.45,-0.1,1.033,1.09,1.397
286.830353,42.279202,13.941,5623,3.925,-0.12,1.841,1.04,0.2344
288.961243,42.265011,13.959,5862,4.194,-0.1,1.307,0.97,0.6143
287.242676,42.301369,15.604,5565,4.574,-0.2,0.802,0.88,2.4
287.697998,42.338718,12.498,5465,4.449,0.02,0.925,0.88,1.561
294.137909,42.370499,14.686,5975,4.48,-0.44,0.9,0.89,1.724
295.894104,42.380451,15.996,5307,4.572,-0.28,0.757,0.78,2.535
281.288116,42.45108,13.563,6225,4.169,-0.04,1.451,1.13,0.5218
286.358063,42.406509,15.368,5798,4.507,0.1,0.941,1.04,1.753
287.916351,42.437302,15.934,5993,4.489,0.07,0.986,1.09,1.607
291.638977,42.436321,15.599,5099,4.563,0.04,0.786,0.82,2.387
291.960693,42.43301,14.128,5808,4.185,0.14,1.374,1.05,0.5727
292.137024,42.42942,15.036,4640,4.622,0.04,0.696,0.74,3.093
295.304504,42.475288,14.995,4014,4.663,0.02,0.596,0.6,3.962
295.766144,42.424278,15.956,5296,4.538,-0.1,0.808,0.82,2.191
298.395752,42.459751,12.949,6244,4.402,0.21,1.154,1.23,1.122
293.890198,42.527966,13.749,5966,4.169,0.18,1.499,1.21,0.5074
296.467316,42.598785,12.459,6156,4.284,0.14,1.303,1.19,0.7603
286.410004,42.681549,15.596,5153,4.602,-0.04,0.759,0.85,2.728
286.452698,42.657879,15.99,5646,4.549,-0.14,0.841,0.91,2.162
289.268738,42.604172,15.262,5149,4.447,0.42,0.93,0.88,1.546
291.169525,42.640808,13.998,5506,4.473,0.04,0.914,0.9,1.667
295.946411,42.65892,14.236,5588,4.559,-0.1,0.832,0.91,2.235
296.483429,42.663429,15.024,5202,4.567,0.14,0.811,0.89,2.339
281.91568,42.775509,11.992,6070,4.157,-0.08,1.431,1.07,0.5153
293.82431,42.779701,15.886,5376,4.576,-0.02,0.806,0.9,2.413
296.998627,42.78196,14.061,6086,4.274,-0.16,1.216,1.01,0.793
285.799469,42.811779,15.087,6184,4.448,-0.06,1.038,1.1,1.387
287.77356,42.869282,14.619,5857,4.51,-0.36,0.867,0.89,1.92
293.636963,42.82497,15.019,4260,4.641,-0.04,0.634,0.64,3.547
297.465332,42.882839,13.956,5933,4.342,-0.06,1.115,1,1.013
292.873383,42.966141,15.158,5427,4.463,0.16,0.929,0.92,1.608
293.586365,42.928909,14.517,5926,4.506,-0.04,0.939,1.03,1.752
282.135529,43.039101,12.99,5188,4.547,-0.04,0.795,0.81,2.28
288.642517,43.039291,15.067,5094,4.589,0.21,0.791,0.88,2.522
290.516479,43.08382,14.196,5076,4.55,0.1,0.799,0.83,2.282
291.951904,43.074711,14.338,5783,4.508,-0.34,0.86,0.87,1.928
292.503387,43.083149,13.822,4555,4.629,0.08,0.688,0.73,3.178
294.773926,43.056301,15.847,3789,4.78,-0.26,0.473,0.49,6.553
285.439148,43.16848,13.283,5262,4.583,0.21,0.816,0.93,2.407
287.620819,43.141647,13.178,5869,4.241,0.24,1.344,1.15,0.6668
292.287323,43.197281,13.643,6293,4.348,-0.46,1.087,0.96,1.053
281.112335,43.227791,11.973,5997,4.13,-0.04,1.473,1.07,0.4712
290.3815,43.292988,12.925,3854,4.733,-0.08,0.524,0.54,5.301
296.981018,43.209751,13.771,5551,4.508,-0.42,0.812,0.78,2.038
288.370239,43.35461,13.268,6052,4.285,-0.12,1.202,1.01,0.8233
288.660767,43.36808,13.455,5767,4.287,-0.14,1.135,0.91,0.8769
298.023102,43.363522,15.321,5792,4.375,-0.26,1.005,0.88,1.214
289.861572,43.472771,14.601,6008,4.435,-0.14,1.003,1,1.394
293.061401,43.58136,15.258,5191,4.564,0.34,0.837,0.94,2.248
294.742065,43.536831,13.717,6122,4.173,0.02,1.439,1.12,0.531
282.232513,43.66563,15.777,3991,4.714,-0.22,0.543,0.56,4.893
283.135468,43.657051,14.39,4034,4.76,-0.62,0.49,0.5,6.025
286.110321,43.680962,14.309,5717,4.295,0.24,1.201,1.04,0.8428
294.316986,43.629341,15.505,5733,4.281,0.06,1.183,0.97,0.8289
296.985046,43.65852,15.234,3594,4.92,-0.3,0.337,0.35,12.67
288.254578,43.704868,14.221,6190,4.468,-0.24,0.98,1.02,1.534
297.2789,43.724018,14.248,5815,4.421,-0.3,0.954,0.88,1.419
282.391937,43.889351,12.701,5620,4.333,0.34,1.143,1.02,0.9669
282.468109,43.889912,14.458,5205,4.552,-0.06,0.792,0.81,2.314
285.1828,43.831078,10.421,6197,3.837,-0.32,2.188,1.2,0.1611
287.439178,43.832088,14.287,4859,4.615,-0.52,0.651,0.64,3.249
289.553284,43.876179,14.939,6063,4.47,-0.02,1.001,1.08,1.517
294.667969,43.85326,14.55,5229,4.47,0.07,0.877,0.83,1.727
282.492218,43.980209,11.39,6072,4.07,-0.09,1.659,1.18,0.3653
298.65271,43.955021,14.625,3755,4.778,-0.16,0.475,0.49,6.485
280.801575,44.033989,14.56,5426,4.494,0,0.876,0.87,1.83
285.168335,44.026459,15.791,4494,4.644,-0.04,0.659,0.7,3.432
291.243103,44.00872,15.565,5033,4.501,0.06,0.821,0.78,1.982
292.642365,44.087669,15.018,3817,4.739,-0.04,0.519,0.54,5.425
297.347382,44.026939,14.352,4549,4.633,0,0.676,0.71,3.263
299.407013,44.035053,13.369,6290,4.074,0.04,1.746,1.32,0.3488
299.796448,44.08931,14.173,6112,4.281,-0.06,1.233,1.06,0.7941
285.672882,44.11673,12.495,4605,2.936,0.29,6.528,1.34,0.006807
289.594757,44.141949,15.46,5162,4.566,0.06,0.795,0.85,2.378
290.826019,44.184109,15.224,4186,4.686,-0.34,0.572,0.58,4.342
294.453857,44.145973,12.706,5772,4.487,0.1,0.956,1.02,1.648
294.484375,44.166908,15.59,5888,4.444,0.1,1.019,1.05,1.404
296.566223,44.105862,15.223,5527,4.488,-0.18,0.866,0.84,1.824
281.348816,44.295238,13.53,5390,4.499,0.06,0.876,0.88,1.848
283.00296,44.284229,13.404,5528,4.499,-0.2,0.853,0.84,1.899
289.347321,44.208511,10.5,6239,4.247,-0.14,1.358,1.19,0.6652
296.003693,44.277561,13.426,5578,4.578,-0.24,0.794,0.87,2.448
281.279724,44.315529,14.674,6020,4.356,-0.14,1.093,0.99,1.068
284.482452,44.398041,12.346,5699,4.171,0.3,1.415,1.08,0.5399
287.564728,44.305,14.859,5228,4.6,-0.14,0.755,0.84,2.734
289.607971,44.345421,13.938,5524,4.421,0.2,0.994,0.95,1.361
300.51712,44.38158,13.914,6198,4.237,-0.04,1.324,1.1,0.6683
300.863983,44.337551,12.882,5854,4.406,-0.12,1.012,0.95,1.294
282.200104,44.422298,13.908,6071,4.202,0.1,1.41,1.16,0.5812
293.741669,44.44833,11.551,5085,4.598,-0.14,0.736,0.79,2.773
301.720764,44.41206,15.856,4299,4.728,-0.96,0.511,0.51,5.378
284.05954,44.518215,9.705,5417,4.567,-0.32,0.772,0.8,2.458
291.387756,44.52911,11.931,6144,4.022,0.13,1.85,1.32,0.2948
295.579346,44.545959,15.058,4208,4.681,-0.19,0.59,0.61,4.183
284.828033,44.60873,14.993,4500,4.632,-0.32,0.633,0.63,3.484
290.824188,44.647179,13.648,5739,4.486,0.36,0.992,1.1,1.586
291.653168,44.688271,13.492,5873,4.293,0.18,1.235,1.09,0.8163
292.219055,44.61916,15.92,3068,5.09,-0.48,0.17,0.13,37.27
293.641296,44.65704,14.809,5324,4.585,-0.04,0.791,0.88,2.515
293.676483,44.615582,14.746,5941,4.519,-0.14,0.911,1,1.865
296.435822,44.64156,14.875,5915,4.329,-0.06,1.13,0.99,0.9695
284.677277,44.79768,15.204,5600,4.455,-0.36,0.872,0.79,1.683
286.026123,44.782871,13.584,5610,4.301,-0.04,1.104,0.89,0.9311
286.284729,44.781551,14.866,6052,4.424,-0.12,1.028,1.02,1.324
288.584045,44.733799,14.137,5108,4.564,0.02,0.783,0.82,2.405
294.108185,44.770699,15.773,5717,4.538,0,0.884,0.98,2.006
298.079437,44.746319,13.549,5356,4.338,0.2,1.055,0.88,1.06
288.447388,44.801682,15.261,5108,4.608,-0.1,0.743,0.82,2.834
291.84198,44.858089,15.532,5216,4.584,0.06,0.79,0.87,2.493
